T,mu
-39.01639344262296,1015.6996587030718
-35.67809239940388,1034.8122866894198
-31.862891207153503,1056.6552901023892
-28.524590163934427,1081.2286689419795
-24.709388971684056,1105.80204778157
-21.37108792846498,1133.1058020477817
-17.555886736214603,1160.409556313993
-14.694485842026827,1187.713310580205
-11.356184798807751,1217.7474402730377
-8.494783904619972,1242.320819112628
-5.633383010432191,1269.6245733788396
-2.295081967213114,1296.9283276450512
0.5663189269746667,1318.771331058021
3.9046199701937434,1346.075085324232
7.242921013412811,1370.6484641638226
10.581222056631889,1397.9522184300342
13.919523099850965,1419.7952218430034
17.25782414307004,1444.368600682594
20.596125186289115,1466.2116040955632
24.4113263785395,1490.7849829351535
27.74962742175857,1512.627986348123
31.564828614008945,1534.4709897610924
35.38002980625932,1553.5836177474405
39.195230998509686,1575.4266211604097
43.48733233979135,1597.269624573379
47.77943368107303,1619.1126279863483
53.02533532041728,1643.6860068259386
57.31743666169896,1660.0682593856657
61.60953800298063,1676.4505119453927
66.85543964232488,1690.1023890784984
72.10134128166916,1698.293515358362
77.34724292101342,1703.7542662116043
83.54694485842026,1703.7542662116043
90.2235469448584,1698.293515358362
96.90014903129656,1690.1023890784984
102.62295081967213,1684.6416382252562
108.822652757079,1681.9112627986349
115.49925484351716,1679.1808873720138
123.60655737704916,1681.9112627986349
131.2369597615499,1690.1023890784984
138.39046199701937,1701.023890784983
145.06706408345752,1711.9453924914676
151.74366616989568,1725.5972696245735
157.46646795827124,1739.2491467576792
163.66616989567808,1758.3617747440271
169.38897168405364,1774.7440273037544
174.63487332339793,1796.5870307167236
180.35767511177343,1818.430034129693
185.6035767511177,1845.7337883959049
190.3725782414307,1873.0375426621165
195.1415797317437,1903.071672354949
199.43368107302533,1930.3754266211608
203.725782414307,1957.679180887372
207.5409836065574,1979.5221843003412
211.35618479880776,1998.6348122866896
215.6482861400894,2020.4778156996588
219.9403874813711,2039.590443686007
223.27868852459017,2053.2423208191126
225.18628912071532,2058.7030716723552
228.5245901639344,2047.7815699658704
231.38599105812224,2028.6689419795223
234.24739195231,1995.9044368600685
236.1549925484352,1963.1399317406144
237.5856929955291,1930.3754266211608
238.53949329359165,1894.8805460750852
239.97019374068557,1851.1945392491468
240.92399403874816,1807.5085324232084
241.87779433681072,1761.092150170649
242.354694485842,1709.2150170648465
242.8315946348733,1643.6860068259386
243.30849478390465,1578.1569965870308
243.30849478390465,1507.1672354948807
243.7853949329359,1436.1774744027305
244.26229508196724,1378.839590443686
244.7391952309985,1316.0409556313994
245.2160953800298,1258.703071672355
245.69299552906108,1174.061433447099
246.1698956780924,1097.6109215017066
246.6467958271237,1034.8122866894198
246.6467958271237,977.4744027303756
247.6005961251863,890.1023890784984
248.0774962742176,794.5392491467577
249.03129657228016,704.4368600682594
249.5081967213115,641.6382252559728
249.9850968703428,573.3788395904437
249.9850968703428,516.0409556313994
250.46199701937405,461.43344709897616
