f,mu_real
10036.65497,1541.01235
16243.16983,1541.31908
24763.72519,1541.01235
35329.92561,1543.46791
50404.51845,1538.56071
71911.14718,1538.56071
102594.23654,1542.23964
146369.204,1541.01235
208822.09959,1542.23964
297922.43235,1544.38975
425040.14599,1566.36807
606396.51833,1609.98527
865134.13121,1698.76775
1088065.7752,1824.51028
1368443.44528,2063.86885
1673005.54684,2214.94597
2007213.91907,2116.87679
2232046.1508,1885.83911
2417544.43151,1554.27022
2861054.00781,817.23408
3098211.60058,520.78256
3284412.67665,344.08246
3476157.74315,204.93251
3643008.20282,99.28006
3770575.06487,52.62373
3812296.51368,32.25298
3815456.22557,19.04722
3836159.88357,13.25926
3875106.86678,7.60004
